internal_id,en,ru,ua
en,English,английский,англійську
fr,French,французский,французьку
de,German,немецкий,німецьку
es,Spanish,испанский,іспанську
it,Italian,итальянский,італійську
pl,Polish,польский,польську
cz,Czech,чешский,чеську
se,Swedish,шведский,шведську
gr,Greek,греческий,грецьку
fi,Finnish,финский,фiньску
jp,Japanese,японский,японську
help,Enter /start to start registration or /cancel to cancel the registration.\n\nFor technical support please contact,"Чтобы начать регистрацию, введите /start. Чтобы прервать регистрацию, введите /cancel.\n\nТехническая поддержка:",Почати реєстрацію: /start\nПерервати реєстрацію: /cancel\nТехнічна підтримка:
option_yes,Yes,Да,Так
option_no,No,Нет,Нi
hello,Hello,Привет,Привіт
choose_language_of_conversation,Which language shall we speak?,На каком языке мы будем общаться?,Якою мовою ми будемо спілкуватися?
ask_already_with_us,"My name is Sam, I am a bot with <a href=""https://samanthasgroup.com/en"">Samantha Smith's Group</a>. I will help you fill out a request for <strong>free online courses of foreign languages for Ukrainians</strong>.\n\nTo cancel the registration process at any time, please enter /cancel\n\nAre you already teaching or taking classes with us?","Меня зовут Сэм, я бот волонтёрского движения <a href=""https://samanthasgroup.com"">Samantha Smith's Group</a>. Я помогу вам заполнить заявку на <strong>бесплатные онлайн-курсы иностранного языка для украинцев</strong>.\n\nЧтобы прервать регистрацию, вы можете в любой момент ввести команду /cancel\n\nВы уже занимаетесь или преподаёте в Samantha?","Мене звати Сем, я — бот волонтерського руху <a href=""https://samanthasgroup.com/ua"">Samantha Smith's Group</a>. Я допоможу вам заповнити заявку на <strong>безкоштовні онлайн курси іноземної мови для українців</strong>.\n\nЩоб перервати реєстрацію, ви можете в будь-який момент ввести команду /cancel\n\nВи вже займаєтесь або викладаєте у Samantha?"
reply_go_to_other_chat,Please contact your coordinator.,"Тогда свяжитесь, пожалуйста, со своим координатором. ","Тоді зв'яжіться, будь ласка, зі своїм координатором."
reply_chat_id_found,"It seems, we've met before. 😉 Are you sure you want to register another person from the same Telegram account?","Кажется, мы с вами уже общались 😉 вы уверены, что хотите зарегистрировать кого-то ещё с этого аккаунта в Telegram?","Здається, ми з вами вже спілкувалися 😉 Ви впевнені, що хочете зареєструвати когось іще з цього акаунта в Telegram?"
note_editable_fields,"<i>Some of the following questions end in a pencil symbol (✎). This means that you will be able to <strong>edit</strong> this piece of information at the end of the registration process.</i>","<i>Некоторые из вопросов анкеты заканчиваются карандашиком (✎). Это означает, что вы сможете <strong>отредактировать</strong> свой ответ на этот вопрос в конце регистрации.</i>","<i>Деякі питання анкети закінчуються олівцем (✎). Це означає, що ви зможете <strong>відредагувати</strong> свою відповідь на це запитання наприкінці реєстрації.</i>"
ask_first_name,"Please specify your name or your nickname for us to address you ✎",Как к вам можно обращаться?,Як можна до вас звертатися?
ask_role,Are registering as a student or as a teacher?,Вы хотите учить язык или присоединиться в качестве преподавателя?,Ви хочете вивчати мову або доєднатися в якості викладача?
option_student,student,хочу учить язык,хочу вивчати мову
option_teacher,teacher,хочу преподавать,хочу викладати
