internal_id,en,ru,ua
en,English,английский,
fr,French,французский,
de,German,немецкий,
es,Spanish,испанский,
it,Italian,итальянский,
pl,Polish,польский,
cz,Czech,чешский,
se,Swedish,шведский,
option_yes,Yes,Да,Да
option_no,No,Нет,Нi
hello,Hello,Привет,Привіт
choose_language_of_conversation,"My name is Sam, I am a bot working for [Samantha Smith's Group](https://samanthasgroup.com/en)\. Which language shall we speak\? To cancel the registration process at any time, please enter /cancel","Меня зовут Сэм, я бот волонтерского движения [Samantha Smith's Group](https://samanthasgroup.com/)\. Я помогу вам заполнить заявку на бесплатные онлайн\-курсы иностранного языка для украинцев\. Чтобы прервать регистрацию, вы можете в любой момент ввести команду /cancel\. На каком языке мы будем общаться\?",
ask_already_with_us,Are you already teaching or taking classes with us?,Вы уже занимаетесь или преподаёте в Samantha? ,
reply_go_to_other_chat,Please contact your coordinator.,"Тогда свяжитесь, пожалуйста, со своим координатором. ",
reply_chat_id_found,"It seems, we've met before. 😉 Are you sure you want to register another person from the same Telegram account?","Кажется, мы с вами уже общались 😉 вы уверены, что хотите зарегистрировать кого-то ещё из той же учётной записи Telegram?",
ask_first_name,"How should we address you? Please, specify the name or the nickname",Как к вам можно обращаться?,
ask_role,Are you registering as a student or as a teacher?,Вы хотите учить язык или присоединиться в качестве преподавателя? ,
option_student,student,хочу учить язык,
option_teacher,teacher,хочу преподавать,
student_ukraine_disclaimer,Please note that by continuing the registration as a student you confirm that you are from the Ukraine.,"Обратите внимание, что, продолжая регистрацию в качестве студента, вы подтверждаете, что вы из Украины",
ask_age,"How old are you? We don't need your exact age, just choose the age group so we can find the best group for you","Сколько вам лет? Выберите из вариантов ниже, чтобы мы могли подобрать группу, которая подойдёт вам лучше всего",
ask_if_18,Are you 18 or older?,Вам уже исполнилось 18?,
ask_if_over_16_and_can_host_speaking_clubs,"Unfortunately, teachers in our groups must be at least 18 years old. However, if you are 16 or older, you can host Speaking Clubs","К сожалению, вести занятия в Samantha's Group могут только преподаватели старше 18 лет. Но если вам уже исполнилось 16, вы можете вести разговорные клубы.",
option_young_teacher_under_16,I am younger than 16,Мне меньше 16 лет. ,
option_young_teacher_over_16_but_no_speaking_club,I am old enough but won't host Speaking Clubs,"Мне уже есть 16, но я не хочу вести разговорные клубы.",
option_young_teacher_over_16_and_ready_for_speaking_club,I am 16 and I'm ready to host Speaking Clubs,"Мне есть 16, и я готов(а) вести разговорные клубы.",
reply_cannot_work,"Unfortunately, we will not be able to work with you. Thank you for your time!","Очень жаль, но наше волонтерское движение не сможет сотрудничать с вами. Спасибо за желание и уделённое время!",
ask_last_name,"Please, provide your last name (or whatever you want to use instead)","Сообщите, пожалуйста, вашу фамилию или псевдоним.",
ask_source,How did you find out about Samantha Smith's Group?,Откуда вы узнали о Samantha Smith's Group?,
ask_username_1,We can store your username,Я могу сохранить ваш ник в Telegram,
ask_username_2, so that you don't have to give us your phone number. But in this case please make sure you don't change your username while you're with us.,", чтобы вам не пришлось сообщать мне ваш номер телефона. В этом случае я попрошу вас не менять ваш ник в Telegram, пока вы занимаетесь ( или сотрудничаете с Samantha) в Samantha.",
username_reply_yes,please store my username,"Да, сохрани мой ник",
username_reply_no,I'll provide my number,Я дам номер телефона,
ask_phone,"Please provide your phone number in *international format* \(starting with \+ or 00\)\. The country code for Ireland is \+353, for Ukraine \+380\. For the full list of country codes, you can consult e\.g\. [this website](https://www.internationalcitizens.com/international-calling-codes/)\. You can also simply press the button below to send us your current phone number","Пожалуйста, введите номер телефона *в международном формате* \(начиная с \+ или 00\)\. Международный код Ирландии \+353, Украины \+380\. Полный список телефонных кодов стран доступен, например, на [этом сайте](https://zabor.zp.ua/spravka/kodi_stran.htm)\. вы также можете просто нажать появившуюся кнопку в нижней части экрана, чтобы поделиться со мной своим номером телефона",
share_phone,Tap to share your phone number,"Нажмите, чтобы поделиться своим номером телефона",
ask_email,Please provide your email,"Пожалуйста, введите адрес своей электронной почты",
invalid_email,This doesn't look like a valid email. Please try again.,"Это не очень похоже на адрес электронной почты. Пожалуйста, попробуйте ещё раз.",
invalid_phone_number,doesn't seem like a valid phone number. Please try again.,"Кажется, это недействительный номер телефона. Пожалуйста, попробуйте ещё раз.",
user_already_exists,"A user with this name and contact details already exists. Please contact your coordinator or, if you do not have one yet, just wait for us to contact you when we find a group for you. I am terminating the registration process. Bye for now!","Пользователь с такими данными уже существует. Пожалуйста, свяжитесь со своим координатором. Если вы уже зарегистрировались, повторно регистрироваться не нужно: надо просто подождать, пока координаторы найдут для вас группу и свяжутся с вами. Я завершаю процесс регистрации. До связи!",
ask_timezone,What's your timezone? Choose your current time (offset relative to UTC is indicated in parentheses),Выберите ваше текущее время (в скобках указана разница в часах относительно UTC),
ask_timeslots,Which time slots suit you,Какие часы занятий вам подходят,
ask_slots_0,on Monday,по понедельникам,
ask_slots_1,on Tuesday,по вторникам,
ask_slots_2,on Wednesday,по средам,
ask_slots_3,on Thursday,по четвергам,
ask_slots_4,on Friday,по пятницам,
ask_slots_5,on Saturday,по субботам,
ask_slots_6,on Sunday,по воскресеньям,
ask_slots_next,Move on to the next day ➡️,перейти к следующему дню ➡️,
no_slots_selected,You've selected no slots at all! Let's try again,Вы не выбрали подходящего времени для занятий. Давайте попробуем ещё раз.,
ask_teaching_language_student,What language do you want to learn\? Please note that you can only choose *one* language right now\. You can add a second language later on through your group coordinator\.,Какой язык вы хотите учить\? Сейчас вы можете выбрать *только один язык*\. Затем вы сможете добавить ещё один язык через нашего координатора\.,
